Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.821591,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.826526,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.826889,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.826984,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.827199,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.827214,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.832519,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.833032,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.833108,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.840214,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.840723,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.840861,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.841179,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.841265,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.841635,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.84169,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.845315,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.845843,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.845946,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.846283,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.846304,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.85281,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.853667,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.853791,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.854358,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.85446,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.860796,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.860848,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.860921,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.861158,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.866801,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.866847,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.86689,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.866892,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.86696,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.867058,115.113.240.203,10.0.2.15,1600,443,41438
