SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
4349,21:23:15.109458,21:23:15.112515,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3874,21:22:51.552229,21:22:51.634131,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3942,21:22:54.914182,21:22:54.937408,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4182,21:23:09.450078,21:23:09.452091,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4293,21:23:13.154053,21:23:13.190575,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4393,21:23:16.783062,21:23:16.789294,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3863,21:22:51.036793,21:22:51.099719,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4015,21:22:58.439481,21:22:58.598208,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
4098,21:23:05.428533,21:23:05.579716,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4257,21:23:11.947037,21:23:11.949524,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4283,21:23:12.834595,21:23:12.85803,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4050,21:23:01.568052,21:23:01.727298,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4055,21:23:02.047753,21:23:02.198004,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
4061,21:23:02.480142,21:23:02.689214,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4187,21:23:09.633283,21:23:09.636989,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4300,21:23:13.344845,21:23:13.355555,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3779,21:22:47.05759,21:22:47.117694,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3783,21:22:47.206651,21:22:47.21816,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3895,21:22:52.55933,21:22:52.667696,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
